,700 nm,690 nm,680 nm,671 nm,660 nm,650 nm,640 nm,632 nm,620 nm,610 nm,600 nm,589 nm,580 nm,570 nm,560 nm,550 nm,540 nm,532 nm,520 nm,510 nm,500 nm,492 nm,480 nm,470 nm,460 nm,450 nm,440 nm,430 nm,420 nm,410 nm,400 nm,390 nm,380 nm,370 nm,360 nm,350 nm,340 nm,330 nm,320 nm,310 nm,300 nm
450 nm,1.35021,2.73218,4.71815,7.20816,9.09274,10.72847,11.26141,10.76212,9.0563,6.07527,3.54791,0.80171,1.00731,2.55328,3.19313,3.50443,2.33429,1.88804,2.13039,2.82258,3.12086,3.2581,2.82703,1.97855,1.16793,0,0.79893,1.45308,1.30666,0.36219,0.22566,0.72092,1.21459,1.51867,1.45122,0.89178,0.14241,1.36948,2.71501,5.14504,1.31176
440 nm,2.10643,3.45533,5.28341,7.56423,9.31732,10.93433,11.59761,11.36387,9.95805,7.11505,4.47286,1.24747,0.47452,2.12735,2.83408,3.16544,1.70676,1.12201,2.01112,3.11784,3.55116,3.80943,3.46925,2.68288,1.91889,0.79893,0,0.7778,0.82177,0.22923,0.17381,0.58841,1.00215,1.26038,1.21183,0.75578,0.1121,1.04893,2.10468,3.87279,0.26466
430 nm,3.35496,4.09176,5.21371,6.72623,7.95701,9.21185,9.88772,10.0497,9.42933,7.58633,5.49306,2.93096,2.41062,2.91636,3.31426,3.3859,1.63503,0.48325,1.93336,3.38327,3.83605,4.07333,3.71249,3.01363,2.37439,1.45308,0.7778,0,0.23295,0.0602,0.17437,0.47397,0.78983,0.99011,0.97345,0.67316,0.28776,0.60952,1.22487,2.04489,0.95983
420 nm,3.39925,3.7575,4.33891,5.17659,5.89285,6.67137,7.14762,7.37767,7.20971,6.31076,4.99447,3.16394,2.85158,3.28556,3.56367,3.55432,1.99714,0.86904,1.80756,3.1186,3.40055,3.43782,3.01173,2.44295,1.96908,1.30666,0.82177,0.23295,0,0.03577,0.19329,0.43368,0.69805,0.86631,0.86925,0.65622,0.36729,0.31857,0.65472,1.03726,1.07528
410 nm,5.40343,5.36444,5.30286,5.19949,5.06314,4.82454,4.57639,4.24605,3.80447,3.05667,2.27308,1.39783,1.23192,1.32235,1.39413,1.39053,1.21174,1.11578,1.08652,1.10254,1.01018,0.90201,0.74572,0.61665,0.5174,0.36219,0.22923,0.0602,0.03577,0,0.10706,0.30841,0.53707,0.67712,0.71961,0.63387,0.48304,0.28825,0.17533,0.12158,1.27941
400 nm,6.58004,6.51803,6.41779,6.24799,6.0319,5.66047,5.27825,4.77947,4.12891,3.08914,2.0726,0.89949,0.54206,0.59675,0.69342,0.69175,0.49952,0.46457,0.46482,0.43572,0.39605,0.35325,0.31659,0.30092,0.28202,0.22566,0.17381,0.17437,0.19329,0.10706,0,0.20355,0.43493,0.57398,0.63031,0.57611,0.45372,0.28858,0.16348,0.03314,1.45865
390 nm,8.60793,8.53507,8.42027,8.22347,7.95937,7.47627,6.95908,6.26232,5.3495,4.03506,3.01081,2.2034,2.07767,2.09905,2.14257,2.12839,1.99193,1.90365,1.7474,1.76488,1.64041,1.49092,1.26056,1.06303,0.91735,0.72092,0.58841,0.47397,0.43368,0.30841,0.20355,0,0.23911,0.38214,0.45317,0.42389,0.31834,0.18024,0.10909,0.20488,1.79729
380 nm,10.2578,10.17981,10.06055,9.85222,9.55493,8.97777,8.34417,7.48342,6.38346,4.967,4.0624,3.49453,3.44287,3.48163,3.51054,3.4557,3.23857,3.05003,2.64473,2.75802,2.61667,2.43193,2.08709,1.76861,1.53032,1.21459,1.00215,0.78983,0.69805,0.53707,0.43493,0.23911,0,0.14498,0.22342,0.20679,0.12562,0.146,0.27763,0.49008,2.03838
370 nm,10.97852,10.90282,10.78974,10.58901,10.28844,9.68214,9.00803,8.09031,6.93643,5.53588,4.73,4.27561,4.25579,4.30617,4.3248,4.23452,3.94092,3.67315,3.09048,3.27397,3.14183,2.96162,2.56931,2.18898,1.90076,1.51867,1.26038,0.99011,0.86631,0.67712,0.57398,0.38214,0.14498,0,0.08081,0.07629,0.10741,0.26293,0.42847,0.67363,2.15616
360 nm,11.81163,11.71099,11.55751,11.28734,10.90292,10.15547,9.34636,8.27745,6.97564,5.44131,4.56809,4.07461,4.04208,4.08127,4.1011,4.02507,3.77903,3.55653,3.05323,3.16443,3.01085,2.8182,2.43859,2.07977,1.80937,1.45122,1.21183,0.97345,0.86925,0.71961,0.63031,0.45317,0.22342,0.08081,0,0.03907,0.16117,0.3436,0.52587,0.79686,2.20199
350 nm,12.91474,12.76423,12.52877,12.11949,11.57516,10.57329,9.52564,8.18777,6.59675,4.68031,3.45016,2.61248,2.47483,2.45173,2.47746,2.45634,2.35542,2.28078,2.09354,2.04957,1.90157,1.73627,1.48661,1.27042,1.10922,0.89178,0.75578,0.67316,0.65622,0.63387,0.57611,0.42389,0.20679,0.07629,0.03907,0,0.13295,0.32574,0.52022,0.8126,2.23235
340 nm,13.92416,13.74001,13.45146,12.95191,12.30086,11.12327,9.90783,8.37443,6.56216,4.32636,2.71742,1.21315,0.66461,0.12798,0.2268,0.27326,0.12763,0.1714,0.14853,0.11241,0.10224,0.11357,0.19499,0.23546,0.22834,0.14241,0.1121,0.28776,0.36729,0.48304,0.45372,0.31834,0.12562,0.10741,0.16117,0.13295,0,0.19218,0.38975,0.69053,2.4222
330 nm,16.05039,15.84494,15.53774,15.00611,14.29555,12.98053,11.63288,9.9585,8.0577,5.98018,4.83282,4.15897,4.07869,4.0788,4.09209,4.01666,3.79431,3.60392,3.21586,3.27691,3.09097,2.86536,2.45786,2.07844,1.78574,1.36948,1.04893,0.60952,0.31857,0.28825,0.28858,0.18024,0.146,0.26293,0.3436,0.32574,0.19218,0,0.20596,0.53721,3.06687
320 nm,18.40215,18.19861,17.93232,17.47293,16.80541,15.48135,14.12017,12.44567,10.63274,8.94542,8.28203,8.00193,8.03662,8.06468,7.9414,7.50642,6.61105,5.88944,4.77611,5.3404,5.29674,5.22822,4.69944,4.04445,3.49907,2.71501,2.10468,1.22487,0.65472,0.17533,0.16348,0.10909,0.27763,0.42847,0.52587,0.52022,0.38975,0.20596,0,0.35942,3.91809
310 nm,26.12789,25.62518,25.31451,24.91896,24.22716,22.65997,21.18914,19.56846,18.10537,17.28909,17.33905,17.29391,17.19251,16.52439,15.06856,12.68111,9.6263,7.83283,5.77755,7.02274,7.40678,8.13648,8.22459,7.51835,6.64285,5.14504,3.87279,2.04489,1.03726,0.12158,0.03314,0.20488,0.49008,0.67363,0.79686,0.8126,0.69053,0.53721,0.35942,0,5.93932
300 nm,15.52651,15.33744,15.47119,16.10919,16.71661,17.07778,17.11831,16.88772,16.56636,16.69244,17.21572,17.4309,17.35227,16.54229,14.7651,12.05148,8.82004,6.94073,4.25367,4.7587,4.80217,5.18917,4.91167,3.93342,2.89671,1.31176,0.26466,0.95983,1.07528,1.27941,1.45865,1.79729,2.03838,2.15616,2.20199,2.23235,2.4222,3.06687,3.91809,5.93932,0
