,700 nm,690 nm,680 nm,671 nm,660 nm,650 nm,640 nm,632 nm,620 nm,610 nm,600 nm,589 nm,580 nm,570 nm,560 nm,550 nm,540 nm,532 nm,520 nm,510 nm,500 nm,492 nm,480 nm,470 nm,460 nm,450 nm,440 nm,430 nm,420 nm,410 nm,400 nm,390 nm,380 nm,370 nm,360 nm,350 nm,340 nm,330 nm,320 nm,310 nm,300 nm
532 nm,7.42063,6.67324,5.70591,4.52826,3.55862,2.50504,1.85167,1.46722,1.42736,1.71826,2.09502,2.48645,2.64391,2.71929,2.43656,1.81156,0.72732,0,1.65719,2.46896,3.49564,4.39236,5.33196,5.79263,5.91037,5.5962,4.97908,3.47453,1.3637,2.14003,2.94579,3.33182,3.51596,3.50538,2.81003,1.11294,1.11625,3.92321,5.65934,7.4109,6.41687
520 nm,2.92999,2.51951,2.00387,1.42391,1.04206,0.8961,1.06914,1.37736,1.74877,2.28041,2.78709,3.34409,3.61134,3.885,3.79717,3.36122,2.35707,1.65719,0,0.88807,1.95219,2.94035,4.03218,4.63419,4.8617,4.71628,4.23301,2.97814,1.20915,1.87912,2.56329,2.84976,2.96401,2.94745,2.42349,0.97048,0.97031,3.1011,3.86533,4.2773,3.43102
510 nm,1.11486,0.90292,0.64069,0.37574,0.32265,0.5308,0.77518,1.06697,1.43193,2.01036,2.6122,3.3397,3.72264,4.19457,4.29384,4.03073,3.12207,2.46896,0.88807,0,1.02921,2.01113,3.11005,3.73695,4.00301,3.94936,3.55547,2.55333,1.0848,1.66563,2.18124,2.29619,2.29769,2.26883,1.94547,0.87693,0.87166,2.05141,2.16568,2.12351,1.76198
500 nm,1.31187,1.14163,0.9288,0.6949,0.55156,0.53031,0.66628,0.92674,1.31932,1.98967,2.71445,3.62413,4.12312,4.78591,5.0581,4.95193,4.11683,3.49564,1.95219,1.02921,0,1.03142,2.22759,2.9537,3.30096,3.38117,3.10216,2.24917,0.94782,1.48427,1.96275,2.06536,2.04544,2.008,1.72139,0.79107,0.78154,1.70386,1.72441,1.60061,1.40032
492 nm,2.22611,1.95149,1.59335,1.15642,0.79685,0.40785,0.17872,0.24309,0.60977,1.35918,2.24488,3.41751,4.0901,5.03632,5.56133,5.67761,4.95789,4.39236,2.94035,2.01113,1.03142,0,1.23499,2.02535,2.44101,2.66165,2.52093,1.89119,0.79724,1.29698,1.7379,1.88229,1.92619,1.91711,1.65347,0.73894,0.72977,1.86436,2.06247,2.07849,1.6745
480 nm,2.63164,2.24291,1.85506,1.67906,1.8275,2.18563,2.41973,2.44956,2.17119,1.59374,1.58429,2.72311,3.6131,4.98634,5.90317,6.35486,5.81055,5.33196,4.03218,3.11005,2.22759,1.23499,0,0.85401,1.35707,1.7799,1.85365,1.51446,0.63816,1.11529,1.56724,1.82018,1.95522,1.966,1.62457,0.65808,0.63972,2.12054,2.8022,3.29031,2.09652
470 nm,2.30705,2.1508,2.32996,2.99053,3.71065,4.52669,4.97874,5.09325,4.72655,3.67971,2.5259,2.20705,2.9902,4.64011,5.88103,6.59947,6.19718,5.79263,4.63419,3.73695,2.9537,2.02535,0.85401,0,0.54904,1.11784,1.35304,1.20999,0.50405,0.94717,1.36687,1.62437,1.76231,1.77037,1.42807,0.59812,0.55561,1.89259,2.75467,3.6446,1.83805
460 nm,2.16834,2.44102,3.12211,4.18994,5.13691,6.14737,6.71017,6.8949,6.5375,5.3557,3.80108,2.25847,2.54807,4.25818,5.70769,6.57863,6.26415,5.91037,4.8617,4.00301,3.30096,2.44101,1.35707,0.54904,0,0.63511,0.95633,0.94197,0.3872,0.81246,1.1838,1.42181,1.55072,1.55816,1.25156,0.55857,0.48143,1.59306,2.41053,3.37927,1.31829
450 nm,2.29515,2.98158,3.95842,5.19728,6.22116,7.30832,7.95647,8.28587,8.14848,7.23102,5.63573,2.97069,1.85817,3.26921,5.06409,6.09899,5.88305,5.5962,4.71628,3.94936,3.38117,2.66165,1.7799,1.11784,0.63511,0,0.3826,0.53473,0.21293,0.63712,0.92877,1.13063,1.24197,1.24793,1.00312,0.47752,0.31594,1.0839,1.69471,2.43734,0.55227
440 nm,2.16154,2.86929,3.78548,4.89541,5.79925,6.77205,7.38985,7.79594,7.90436,7.5398,6.54398,4.08157,2.01489,1.93386,4.24407,5.38328,5.22006,4.97908,4.23301,3.55547,3.10216,2.52093,1.85365,1.35304,0.95633,0.3826,0,0.24806,0.09323,0.5125,0.74577,0.92108,1.01928,1.0235,0.82291,0.39621,0.11847,0.67317,1.08721,1.54081,0.55634
