,700 nm,690 nm,680 nm,671 nm,660 nm,650 nm,640 nm,632 nm,620 nm,610 nm,600 nm,589 nm,580 nm,570 nm,560 nm,550 nm,540 nm,532 nm,520 nm,510 nm,500 nm,492 nm,480 nm,470 nm,460 nm,450 nm,440 nm,430 nm,420 nm,410 nm,400 nm,390 nm,380 nm,370 nm,360 nm,350 nm,340 nm,330 nm,320 nm,310 nm,300 nm
540 nm,27.86515,26.48392,25.26737,23.03323,20.69259,17.47908,14.86452,12.46453,10.4309,8.25911,6.52194,5.08556,4.27315,3.18719,2.08493,1.06021,0,0.52806,1.40199,1.64877,2.0048,2.23949,2.47835,2.59057,2.60098,2.28727,1.70055,1.59185,1.91092,1.84631,1.7539,1.99058,2.73828,3.356,3.43191,3.26033,3.55935,4.85204,6.18235,8.92723,9.07762
532 nm,26.5469,25.28188,24.10171,21.93465,19.68336,16.64058,14.19105,11.94849,10.04907,8.03132,6.43481,5.15401,4.43439,3.48947,2.50217,1.5695,0.52806,0,0.88465,1.15075,1.50176,1.74103,1.9955,2.12746,2.14707,1.81645,1.08818,0.4751,0.90409,1.49492,1.53049,1.86737,2.5951,3.14909,3.20054,2.96069,3.10682,4.1434,5.28674,7.86818,8.22429
520 nm,23.40059,22.34339,21.18372,19.10694,17.06696,14.44958,12.37094,10.45415,8.81392,7.09639,5.79718,4.88348,4.39116,3.80215,3.09801,2.39616,1.40199,0.88465,0,0.31789,0.65751,0.94636,1.35881,1.70681,1.92006,2.00479,1.91034,1.88694,1.77219,1.39281,1.35579,1.68976,2.31763,2.73744,2.7567,2.45621,2.45129,3.30494,4.373,6.97213,7.29133
510 nm,21.65224,20.66651,19.48616,17.46649,15.59016,13.24585,11.37984,9.61857,8.05706,6.40411,5.19324,4.43805,4.06558,3.68805,3.1582,2.60811,1.64877,1.15075,0.31789,0,0.29957,0.62762,1.22155,1.80788,2.22616,2.69332,2.99585,3.24242,2.9145,1.70527,1.51328,1.73188,2.37833,2.85765,2.86435,2.5579,2.64714,3.70464,4.91721,7.59765,7.31762
500 nm,18.99699,18.11984,16.94461,15.10441,13.51276,11.56888,9.99862,8.44598,6.98446,5.42562,4.37037,3.90134,3.72789,3.6609,3.34845,2.96089,2.0048,1.50176,0.65751,0.29957,0,0.38234,1.09151,1.80532,2.3318,2.96824,3.38025,3.59637,3.09893,1.60232,1.39006,1.6012,2.23484,2.71159,2.70529,2.36787,2.44592,3.58125,4.89025,7.66083,6.99993
492 nm,16.06442,15.28121,14.19147,12.68887,11.51339,10.12438,8.93729,7.59851,6.13233,4.45985,3.40393,3.15825,3.20133,3.48214,3.40391,3.19208,2.23949,1.74103,0.94636,0.62762,0.38234,0,0.79698,1.64474,2.28924,3.09213,3.59212,3.73502,3.07025,1.44162,1.23138,1.44524,2.05692,2.52259,2.50482,2.13247,2.1814,3.40653,4.86697,7.87268,6.60138
480 nm,11.73038,11.12322,10.4043,9.744,9.47601,9.16953,8.63765,7.58929,5.98016,3.82091,2.3684,2.1159,2.46755,3.22761,3.44135,3.44039,2.47835,1.9955,1.35881,1.22155,1.09151,0.79698,0,0.95252,1.71105,2.66445,3.22292,3.32451,2.64473,1.16527,0.98796,1.20935,1.75695,2.1672,2.12637,1.68365,1.58468,2.76152,4.30495,7.58835,5.56121
470 nm,8.14011,7.81903,7.72265,8.1678,8.86129,9.48722,9.44134,8.58796,6.85514,4.27137,2.32602,1.43802,1.96902,3.05009,3.44826,3.58082,2.59057,2.12746,1.70681,1.80788,1.80532,1.64474,0.95252,0,0.80834,1.85194,2.46505,2.6644,2.1305,0.9391,0.80292,1.01843,1.49111,1.8383,1.77792,1.27723,0.98997,2.06749,3.56386,6.79639,4.24994
460 nm,5.69345,5.72356,6.26932,7.56079,8.81262,9.92014,10.14392,9.44576,7.70949,4.93071,2.72022,1.13026,1.67274,2.92849,3.42783,3.63541,2.60098,2.14707,1.92006,2.22616,2.3318,2.28924,1.71105,0.80834,0,1.08642,1.75002,2.08612,1.71468,0.78397,0.68275,0.8853,1.29617,1.59457,1.5261,1.01004,0.57747,1.61185,3.00412,5.93792,3.07935
450 nm,3.09538,3.80815,5.17049,7.13627,8.72481,10.17465,10.70271,10.33397,8.83677,6.03104,3.54484,0.77154,0.97224,2.53005,3.16279,3.46232,2.28727,1.81645,2.00479,2.69332,2.96824,3.09213,2.66445,1.85194,1.08642,0,0.719,1.26743,1.1408,0.57885,0.52672,0.70721,1.03831,1.27667,1.21415,0.7505,0.18902,1.15419,2.29251,4.51646,1.43312
440 nm,2.29663,3.33705,4.84706,6.79455,8.32851,9.8092,10.50189,10.46294,9.39517,6.91965,4.42353,1.23505,0.44564,2.11765,2.81949,3.14429,1.70055,1.08818,1.91034,2.99585,3.38025,3.59212,3.22292,2.46505,1.75002,0.719,0,0.67441,0.7213,0.41901,0.40469,0.57559,0.85913,1.06076,1.01371,0.62985,0.09605,0.87526,1.76836,3.34109,0.46439
430 nm,3.03078,3.6292,4.55403,5.81828,6.86176,7.95734,8.5913,8.83887,8.47734,7.07374,5.24789,2.75858,2.20827,2.74235,3.16661,3.27323,1.59185,0.4751,1.88694,3.24242,3.59637,3.73502,3.32451,2.6644,2.08612,1.26743,0.67441,0,0.21004,0.22093,0.2714,0.44205,0.67508,0.83458,0.81817,0.56854,0.25559,0.51409,1.02642,1.72914,0.86713
420 nm,3.65339,3.94473,4.39895,5.04641,5.60448,6.21363,6.58729,6.76879,6.63668,5.89178,4.7144,2.91786,2.57755,3.02332,3.31432,3.33705,1.91092,0.90409,1.77219,2.9145,3.09893,3.07025,2.64473,2.1305,1.71468,1.1408,0.7213,0.21004,0,0.13715,0.22178,0.38769,0.59288,0.73013,0.73305,0.55912,0.32959,0.2932,0.56,0.87811,1.15307
