,700 nm,690 nm,680 nm,671 nm,660 nm,650 nm,640 nm,632 nm,620 nm,610 nm,600 nm,589 nm,580 nm,570 nm,560 nm,550 nm,540 nm,532 nm,520 nm,510 nm,500 nm,492 nm,480 nm,470 nm,460 nm,450 nm,440 nm,430 nm,420 nm,410 nm,400 nm,390 nm,380 nm,370 nm,360 nm,350 nm,340 nm,330 nm,320 nm,310 nm,300 nm
560 nm,72.66287,63.4001,58.2686,51.98682,48.16121,42.27623,37.6358,33.26233,30.06304,24.46766,19.621,13.64764,11.05147,4.97428,0,4.08057,6.88304,8.13589,9.72884,9.92761,10.82411,11.40258,11.79177,11.63405,11.2432,9.89913,8.34598,6.064,2.05099,4.5491,5.93257,6.59109,6.77156,6.75809,5.36346,2.46758,2.39786,8.35132,14.17827,26.6356,25.33968
550 nm,55.55355,48.9748,45.39705,41.08069,38.64958,35.08077,32.3424,29.75891,28.12039,24.37735,20.6508,15.99343,13.81716,8.67013,4.08057,0,3.2397,4.75577,6.88641,7.37509,8.4213,9.17601,9.79839,9.84176,9.61191,8.53107,7.16543,5.1627,1.7782,3.97355,5.1652,5.78012,5.97507,5.98174,4.7701,2.14379,2.07447,7.39408,12.14845,20.31487,18.28534
540 nm,36.68763,32.5215,30.30529,27.71032,26.50128,25.14083,24.4189,23.86593,24.09997,22.45504,19.96095,16.70243,14.97243,10.84193,6.88304,3.2397,0,1.537,3.75381,4.3188,5.31387,6.06063,6.7413,6.90292,6.80063,5.9112,4.54737,2.75541,1.37447,2.73045,3.73481,4.5547,4.88032,4.94608,4.00031,1.60954,1.49243,6.10103,9.31143,13.02278,11.22412
532 nm,27.50368,24.29563,22.51853,20.48662,19.63469,19.26221,19.67086,20.33079,21.71615,21.26727,19.43412,16.91129,15.40457,11.77793,8.13589,4.75577,1.537,0,2.26056,2.89122,3.86435,4.63211,5.39685,5.68305,5.69911,5.02285,3.8198,1.96441,0.99146,1.50956,2.63267,3.70252,4.1522,4.27272,3.56001,1.46642,1.35594,5.26758,7.42676,9.29245,7.7017
520 nm,23.0592,19.46695,16.50392,12.52224,8.561,5.34002,8.01368,11.86219,16.09851,18.2226,17.70772,16.60758,15.51802,12.80131,9.72884,6.88641,3.75381,2.26056,0,0.7659,1.70049,2.56796,3.63638,4.32069,4.69361,4.68975,4.23976,3.14528,1.12426,2.53436,3.14294,3.46885,3.65436,3.72777,3.21985,1.46093,1.38801,4.56774,5.79464,6.80563,3.41035
510 nm,39.45703,33.93934,29.48416,23.46237,17.16279,7.41031,0.86731,6.31058,12.30713,15.90291,16.13517,15.81612,14.95818,12.71201,9.92761,7.37509,4.3188,2.89122,0.7659,0,0.85711,1.76513,3.05791,4.04115,4.65763,5.01439,4.7924,3.42343,1.11673,2.61298,3.4617,3.85734,4.00903,4.05098,3.31694,1.35801,1.27563,5.17211,7.54152,10.14676,4.65274
500 nm,51.86346,45.05506,39.67588,32.45425,25.08597,13.87331,6.28896,5.38144,11.14835,15.40268,16.04017,16.17303,15.45049,13.46651,10.82411,8.4213,5.31387,3.86435,1.70049,0.85711,0,0.97702,2.41398,3.54851,4.28031,4.76258,4.56433,3.1048,1.01493,2.34329,3.15353,3.54461,3.69626,3.73949,3.02658,1.25044,1.19103,4.89375,7.6266,11.31694,4.94943
492 nm,70.62925,61.91016,55.16702,46.17084,37.19915,23.58652,13.97286,8.12584,10.19822,14.5224,15.53709,16.13568,15.56736,13.87622,11.40258,9.17601,6.06063,4.63211,2.56796,1.76513,0.97702,0,1.54292,2.83073,3.68627,4.28476,4.10777,2.69603,0.89461,2.04602,2.785,3.15765,3.31034,3.35896,2.70466,1.15726,1.13275,4.51564,7.47767,12.62006,5.07778
480 nm,93.9849,83.16629,74.95666,64.02534,53.24457,36.58466,24.1925,14.50493,10.6129,13.4241,14.69053,15.76023,15.37514,14.03953,11.79177,9.79839,6.7413,5.39685,3.63638,3.05791,2.41398,1.54292,0,1.41664,2.41819,3.18466,3.133,2.05339,0.69283,1.62426,2.24253,2.57763,2.73171,2.79095,2.2525,1.00569,1.01498,3.88871,6.73849,13.04809,4.09501
470 nm,102.39927,91.38389,83.21123,72.33375,61.66202,44.52704,30.94004,19.20885,11.51927,12.26719,13.60108,14.98919,14.73991,13.68465,11.63405,9.84176,6.90292,5.68305,4.32069,4.04115,3.54851,2.83073,1.41664,0,1.10252,2.06717,2.21998,1.53109,0.51519,1.30277,1.82571,2.13031,2.28577,2.35354,1.90944,0.86606,0.87176,3.35571,5.9436,12.31097,2.6202
