,700 nm,690 nm,680 nm,671 nm,660 nm,650 nm,640 nm,632 nm,620 nm,610 nm,600 nm,589 nm,580 nm,570 nm,560 nm,550 nm,540 nm,532 nm,520 nm,510 nm,500 nm,492 nm,480 nm,470 nm,460 nm,450 nm,440 nm,430 nm,420 nm,410 nm,400 nm,390 nm,380 nm,370 nm,360 nm,350 nm,340 nm,330 nm,320 nm,310 nm,300 nm
520 nm,11.2984,9.76439,8.59161,7.02502,5.7716,5.90557,8.24333,11.28944,15.05972,17.3897,17.52016,16.93391,16.19165,13.73102,10.78993,7.86443,4.50564,2.79031,0,1.02269,2.21088,3.21449,4.21326,4.68732,4.88407,4.60451,3.90504,2.68511,1.05459,1.61033,1.46091,1.64884,2.07011,2.27946,2.27918,1.35082,1.28256,2.87714,3.15252,3.34063,1.94548
510 nm,24.42031,21.4088,19.03393,15.68551,11.97789,5.65679,0.83736,5.21805,10.74962,14.68742,15.72635,16.05734,15.62442,13.72514,11.14793,8.56018,5.31667,3.67736,1.02269,0,1.08582,2.0621,3.14393,3.81125,4.2097,4.32841,4.0428,3.09517,1.09109,2.52149,3.16028,3.463,3.61856,3.68203,3.1936,1.43949,1.35332,4.47076,5.56031,6.457,2.77769
500 nm,35.87639,31.75063,28.63326,24.3253,19.80386,12.30068,6.42197,4.4682,9.30608,13.9268,15.47377,16.36028,16.12408,14.5664,12.2006,9.81349,6.55655,4.90735,2.21088,1.08582,0,1.0535,2.30444,3.16712,3.73334,4.11945,4.02767,3.00804,1.00032,2.39053,3.14562,3.50783,3.66121,3.71216,3.09127,1.32086,1.25112,4.67127,6.44304,8.14649,3.53203
492 nm,54.51791,48.60783,44.28674,38.41214,32.50943,22.80272,14.89802,8.66082,8.25968,12.55431,14.57964,16.08689,16.08624,14.93978,12.83681,10.69974,7.4727,5.85022,3.21449,2.0621,1.0535,0,1.36008,2.40801,3.14643,3.77927,3.81332,2.73804,0.89801,2.14885,2.9041,3.28623,3.44724,3.49921,2.84723,1.20812,1.16534,4.58029,7.05001,10.25963,4.18802
480 nm,80.83085,72.54627,66.61031,58.6255,50.81357,37.94619,27.15387,17.33882,10.35904,11.00826,13.13051,15.26917,15.55472,14.92803,13.17379,11.3712,8.22515,6.66887,4.21326,3.14393,2.30444,1.36008,0,1.19536,2.10426,2.95531,3.08859,2.158,0.70943,1.73503,2.39357,2.75033,2.91369,2.9739,2.40247,1.03785,1.02315,4.05238,6.77815,11.7372,3.79306
470 nm,95.36167,86.00597,79.41774,70.63098,62.19892,48.13567,35.91702,24.10522,13.62793,10.05105,11.67062,14.15178,14.64106,14.40751,12.93022,11.39531,8.36396,6.89437,4.68732,3.81125,3.16712,2.40801,1.19536,0,0.99377,1.99579,2.26221,1.63274,0.5348,1.40206,1.96536,2.2924,2.45712,2.5257,2.04499,0.89233,0.8715,3.52052,6.10861,11.66576,2.60848
460 nm,95.04788,86.09105,79.92694,71.80654,64.2408,51.44175,39.80741,27.80452,15.89299,9.44213,10.41951,13.10706,13.73152,13.76364,12.4844,11.14223,8.23825,6.85309,4.88407,4.2097,3.73334,3.14643,2.10426,0.99377,0,1.10126,1.51908,1.20451,0.3935,1.16064,1.647,1.94993,2.11624,2.19193,1.7873,0.79485,0.72296,3.03933,5.36497,10.51626,1.43178
450 nm,79.72851,72.62936,67.94324,61.94233,56.77664,48.11028,39.78219,30.08611,18.26493,7.88429,7.3296,10.66966,11.56472,12.0519,11.08067,10.03176,7.3591,6.12143,4.60451,4.32841,4.11945,3.77927,2.95531,1.99579,1.10126,0,0.57442,0.65486,0.19845,0.89437,1.28643,1.56194,1.73318,1.81966,1.51431,0.72096,0.44084,2.27053,4.08565,7.77086,0.85517
440 nm,59.62142,54.49611,51.20955,47.0986,43.82844,38.61129,33.70131,27.67894,18.89998,6.83886,3.08922,8.10865,9.3391,10.22001,9.47398,8.6325,6.13834,4.98885,3.90504,4.0428,4.02767,3.81332,3.08859,2.26221,1.51908,0.57442,0,0.2811,0.06654,0.72544,1.05016,1.30964,1.48927,1.58721,1.36312,0.73607,0.1338,1.52953,2.83893,5.18539,1.11517
430 nm,29.52113,27.06034,25.51273,23.61354,22.20714,20.1345,18.39043,16.48908,13.9773,8.18306,3.3348,6.30718,7.12998,7.43607,6.7855,6.0844,4.35827,3.34988,2.68511,3.09517,3.00804,2.73804,2.158,1.63274,1.20451,0.65486,0.2811,0,0.05012,0.52619,0.77836,1.03037,1.23306,1.35476,1.24904,0.8741,0.38461,0.46842,1.13333,2.16432,1.00508
420 nm,7.90542,7.27675,6.86122,6.35742,5.97262,5.44499,5.02522,4.60619,4.21417,3.46442,2.46088,2.73643,2.73387,2.51297,2.2275,1.94799,1.64737,1.43492,1.05459,1.09109,1.00032,0.89801,0.70943,0.5348,0.3935,0.19845,0.06654,0.05012,0,0.40743,0.63548,0.90109,1.13406,1.28156,1.26087,1.05949,0.78284,0.3718,0.25972,0.62685,0.60402
