,UV ,VS,M,L,
H. ismenius,365 nm,,445 nm,530 nm,
H. melpomene,365 nm,,470 nm,530 nm,
H. erato male,355 nm,,470 nm,555 nm,
H. erato female,355 nm,390 nm,470 nm,555 nm,
Relative abundances of cones:,,,,,
H. ismenius,0.08,,0.25,1,0.33
H. melpomene,0.09,,0.24,1,0.33
H. erato male,0.13,,0.2,1,0.33
H. erato female,0.09,0.07,0.17,1,0.33
Weber fraction =  0.05,,,,,
